experiment,fri,gsi,adopters,N,avg_of_thresholds,experiment_id,topology
401,0.6625,0.0,0,400,0,MD-B,smallworld
402,0.57,0.0,0,400,0,MD-B,smallworld
403,0.4975,0.0,0,400,0,MD-B,smallworld
404,0.62,0.0,0,400,0,MD-B,smallworld
405,0.4625,0.0,0,400,0,MD-B,smallworld
406,0.72,0.0,0,400,0,MD-B,smallworld
407,0.7425,0.0,0,400,0,MD-B,smallworld
408,0.4275,0.0,0,400,0,MD-B,smallworld
409,0.5675,0.0,0,400,0,MD-B,smallworld
410,0.7475,0.0,0,400,0,MD-B,smallworld
411,0.63,0.0,0,400,0,MD-B,smallworld
412,0.8125,0.0,0,400,0,MD-B,smallworld
413,0.725,0.0,0,400,0,MD-B,smallworld
414,0.67,0.0,0,400,0,MD-B,smallworld
415,0.74,0.0,0,400,0,MD-B,smallworld
416,0.8225,0.0,0,400,0,MD-B,smallworld
417,0.655,0.0,0,400,0,MD-B,smallworld
418,0.7625,0.0,0,400,0,MD-B,smallworld
419,0.665,0.0,0,400,0,MD-B,smallworld
420,0.5975,0.0,0,400,0,MD-B,smallworld
421,0.5025,0.0,0,400,0,MD-B,smallworld
422,0.5275,0.0,0,400,0,MD-B,smallworld
423,0.6775,0.0,0,400,0,MD-B,smallworld
424,0.4475,0.0,0,400,0,MD-B,smallworld
425,0.6975,0.0,0,400,0,MD-B,smallworld
426,0.715,0.0,0,400,0,MD-B,smallworld
427,0.6525,0.0,0,400,0,MD-B,smallworld
428,0.5975,0.0,0,400,0,MD-B,smallworld
429,0.63,0.0,0,400,0,MD-B,smallworld
430,0.81,0.0,0,400,0,MD-B,smallworld
431,0.555,0.0,0,400,0,MD-B,smallworld
432,0.76,0.0,0,400,0,MD-B,smallworld
433,0.645,0.0,0,400,0,MD-B,smallworld
434,0.61,0.0,0,400,0,MD-B,smallworld
435,0.5125,0.0,0,400,0,MD-B,smallworld
436,0.54,0.0,0,400,0,MD-B,smallworld
437,0.6225,0.0,0,400,0,MD-B,smallworld
438,0.6175,0.0,0,400,0,MD-B,smallworld
439,0.6,0.0,0,400,0,MD-B,smallworld
440,0.6175,0.0,0,400,0,MD-B,smallworld
441,0.5975,0.0,0,400,0,MD-B,smallworld
442,0.63,0.0,0,400,0,MD-B,smallworld
443,0.5375,0.0,0,400,0,MD-B,smallworld
444,0.785,0.0,0,400,0,MD-B,smallworld
445,0.68,0.0,0,400,0,MD-B,smallworld
446,0.515,0.0,0,400,0,MD-B,smallworld
447,0.725,0.0,0,400,0,MD-B,smallworld
448,0.5225,0.0,0,400,0,MD-B,smallworld
449,0.5825,0.0,0,400,0,MD-B,smallworld
450,0.6675,0.0,0,400,0,MD-B,smallworld
451,0.52,0.0,0,400,0,MD-B,smallworld
452,0.5,0.0,0,400,0,MD-B,smallworld
453,0.7175,0.0,0,400,0,MD-B,smallworld
454,0.5925,0.0,0,400,0,MD-B,smallworld
455,0.6075,0.0,0,400,0,MD-B,smallworld
456,0.5575,0.0,0,400,0,MD-B,smallworld
457,0.69,0.0,0,400,0,MD-B,smallworld
458,0.74,0.0,0,400,0,MD-B,smallworld
459,0.3575,0.0,0,400,0,MD-B,smallworld
460,0.5775,0.0,0,400,0,MD-B,smallworld
461,0.565,0.0,0,400,0,MD-B,smallworld
462,0.62,0.0,0,400,0,MD-B,smallworld
463,0.6475,0.0,0,400,0,MD-B,smallworld
464,0.53,0.0,0,400,0,MD-B,smallworld
465,0.77,0.0,0,400,0,MD-B,smallworld
466,0.6425,0.0,0,400,0,MD-B,smallworld
467,0.7925,0.0,0,400,0,MD-B,smallworld
468,0.6725,0.0,0,400,0,MD-B,smallworld
469,0.675,0.0,0,400,0,MD-B,smallworld
470,0.74,0.0,0,400,0,MD-B,smallworld
471,0.6975,0.0,0,400,0,MD-B,smallworld
472,0.5775,0.0,0,400,0,MD-B,smallworld
473,0.755,0.0,0,400,0,MD-B,smallworld
474,0.57,0.0,0,400,0,MD-B,smallworld
475,0.585,0.0,0,400,0,MD-B,smallworld
476,0.585,0.0,0,400,0,MD-B,smallworld
477,0.705,0.0,0,400,0,MD-B,smallworld
478,0.7325,0.0,0,400,0,MD-B,smallworld
479,0.6825,0.0,0,400,0,MD-B,smallworld
480,0.535,0.0,0,400,0,MD-B,smallworld
481,0.72,0.0,0,400,0,MD-B,smallworld
482,0.68,0.0,0,400,0,MD-B,smallworld
483,0.57,0.0,0,400,0,MD-B,smallworld
484,0.5275,0.0,0,400,0,MD-B,smallworld
485,0.6675,0.0,0,400,0,MD-B,smallworld
