experiment,fri,gsi,adopters,N,avg_of_thresholds,experiment_id,topology
452,0.49,0.0,0,400,0,MD-B,lattice
453,0.655,0.0,0,400,0,MD-B,lattice
454,0.47,0.0,0,400,0,MD-B,lattice
455,0.6425,0.0,0,400,0,MD-B,lattice
456,0.7675,0.0,0,400,0,MD-B,lattice
457,0.6325,0.0,0,400,0,MD-B,lattice
458,0.5675,0.0,0,400,0,MD-B,lattice
459,0.61,0.0,0,400,0,MD-B,lattice
460,0.525,0.0,0,400,0,MD-B,lattice
461,0.66,0.0,0,400,0,MD-B,lattice
462,0.78,0.0,0,400,0,MD-B,lattice
463,0.4675,0.0,0,400,0,MD-B,lattice
464,0.5025,0.0,0,400,0,MD-B,lattice
465,0.685,0.0,0,400,0,MD-B,lattice
466,0.475,0.0,0,400,0,MD-B,lattice
467,0.5825,0.0,0,400,0,MD-B,lattice
468,0.505,0.0,0,400,0,MD-B,lattice
469,0.56,0.0,0,400,0,MD-B,lattice
470,0.585,0.0,0,400,0,MD-B,lattice
471,0.63,0.0,0,400,0,MD-B,lattice
472,0.575,0.0,0,400,0,MD-B,lattice
473,0.6625,0.0,0,400,0,MD-B,lattice
474,0.4175,0.0,0,400,0,MD-B,lattice
475,0.565,0.0,0,400,0,MD-B,lattice
476,0.5875,0.0,0,400,0,MD-B,lattice
477,0.4475,0.0,0,400,0,MD-B,lattice
478,0.675,0.0,0,400,0,MD-B,lattice
479,0.6175,0.0,0,400,0,MD-B,lattice
480,0.5725,0.0,0,400,0,MD-B,lattice
481,0.555,0.0,0,400,0,MD-B,lattice
482,0.65,0.0,0,400,0,MD-B,lattice
483,0.5825,0.0,0,400,0,MD-B,lattice
484,0.6825,0.0,0,400,0,MD-B,lattice
485,0.64,0.0,0,400,0,MD-B,lattice
486,0.61,0.0,0,400,0,MD-B,lattice
487,0.55,0.0,0,400,0,MD-B,lattice
488,0.4925,0.0,0,400,0,MD-B,lattice
489,0.58,0.0,0,400,0,MD-B,lattice
490,0.56,0.0,0,400,0,MD-B,lattice
491,0.685,0.0,0,400,0,MD-B,lattice
492,0.4725,0.0,0,400,0,MD-B,lattice
493,0.6875,0.0,0,400,0,MD-B,lattice
494,0.645,0.0,0,400,0,MD-B,lattice
495,0.535,0.0,0,400,0,MD-B,lattice
496,0.59,0.0,0,400,0,MD-B,lattice
497,0.5425,0.0,0,400,0,MD-B,lattice
498,0.59,0.0,0,400,0,MD-B,lattice
499,0.6775,0.0,0,400,0,MD-B,lattice
500,0.64,0.0,0,400,0,MD-B,lattice
501,0.7025,0.0,0,400,0,MD-B,lattice
502,0.7725,0.0,0,400,0,MD-B,lattice
503,0.375,0.0,0,400,0,MD-B,lattice
504,0.34,0.0,0,400,0,MD-B,lattice
505,0.5925,0.0,0,400,0,MD-B,lattice
506,0.57,0.0,0,400,0,MD-B,lattice
507,0.3475,0.0,0,400,0,MD-B,lattice
508,0.57,0.0,0,400,0,MD-B,lattice
509,0.4325,0.0,0,400,0,MD-B,lattice
